,時間,茂泓電業
0,2023/05/01 00:00:00,0.0
1,2023/05/01 01:00:00,0.0
2,2023/05/01 02:00:00,0.0
3,2023/05/01 03:00:00,0.0
4,2023/05/01 04:00:00,0.0
5,2023/05/01 05:00:00,0.0
6,2023/05/01 06:00:00,1899.29
7,2023/05/01 07:00:00,5692.9
8,2023/05/01 08:00:00,9935.51
9,2023/05/01 09:00:00,12758.7
10,2023/05/01 10:00:00,14700.79
11,2023/05/01 11:00:00,16661.03
12,2023/05/01 12:00:00,16330.86
13,2023/05/01 13:00:00,15127.42
14,2023/05/01 14:00:00,12992.99
15,2023/05/01 15:00:00,8720.91
16,2023/05/01 16:00:00,5794.38
17,2023/05/01 17:00:00,1538.63
18,2023/05/01 18:00:00,208.07
19,2023/05/01 19:00:00,0.0
20,2023/05/01 20:00:00,0.0
21,2023/05/01 21:00:00,0.0
22,2023/05/01 22:00:00,0.0
23,2023/05/01 23:00:00,0.0
24,2023/05/02 00:00:00,0.0
25,2023/05/02 01:00:00,0.0
26,2023/05/02 02:00:00,0.0
27,2023/05/02 03:00:00,0.0
28,2023/05/02 04:00:00,0.0
29,2023/05/02 05:00:00,0.0
30,2023/05/02 06:00:00,1538.1
31,2023/05/02 07:00:00,5988.41
32,2023/05/02 08:00:00,10265.69
33,2023/05/02 09:00:00,13429.21
34,2023/05/02 10:00:00,15634.1
35,2023/05/02 11:00:00,16693.99
36,2023/05/02 12:00:00,16533.72
37,2023/05/02 13:00:00,14749.09
38,2023/05/02 14:00:00,13220.01
39,2023/05/02 15:00:00,9964.98
40,2023/05/02 16:00:00,5436.3
41,2023/05/02 17:00:00,2459.18
42,2023/05/02 18:00:00,168.93
43,2023/05/02 19:00:00,0.0
44,2023/05/02 20:00:00,0.0
45,2023/05/02 21:00:00,0.0
46,2023/05/02 22:00:00,0.0
47,2023/05/02 23:00:00,0.0
48,2023/05/03 00:00:00,0.0
49,2023/05/03 01:00:00,0.0
50,2023/05/03 02:00:00,0.0
51,2023/05/03 03:00:00,0.0
52,2023/05/03 04:00:00,0.0
53,2023/05/03 05:00:00,0.0
54,2023/05/03 06:00:00,1286.39
55,2023/05/03 07:00:00,4470.99
56,2023/05/03 08:00:00,7290.3
57,2023/05/03 09:00:00,12343.3
58,2023/05/03 10:00:00,15366.3
59,2023/05/03 11:00:00,15460.71
60,2023/05/03 12:00:00,16120.3
61,2023/05/03 13:00:00,13149.21
62,2023/05/03 14:00:00,13185.98
63,2023/05/03 15:00:00,6897.82
64,2023/05/03 16:00:00,3731.9
65,2023/05/03 17:00:00,1851.51
66,2023/05/03 18:00:00,155.29
67,2023/05/03 19:00:00,0.0
68,2023/05/03 20:00:00,0.0
69,2023/05/03 21:00:00,0.0
70,2023/05/03 22:00:00,0.0
71,2023/05/03 23:00:00,0.0
72,2023/05/04 00:00:00,0.0
73,2023/05/04 01:00:00,0.0
74,2023/05/04 02:00:00,0.0
75,2023/05/04 03:00:00,0.0
76,2023/05/04 04:00:00,0.0
77,2023/05/04 05:00:00,0.0
78,2023/05/04 06:00:00,2120.92
79,2023/05/04 07:00:00,6362.89
80,2023/05/04 08:00:00,10547.81
81,2023/05/04 09:00:00,13537.17
82,2023/05/04 10:00:00,15593.91
83,2023/05/04 11:00:00,16608.9
84,2023/05/04 12:00:00,16728.13
85,2023/05/04 13:00:00,15530.59
86,2023/05/04 14:00:00,13559.11
87,2023/05/04 15:00:00,10435.58
88,2023/05/04 16:00:00,6348.03
89,2023/05/04 17:00:00,2160.25
90,2023/05/04 18:00:00,173.66
91,2023/05/04 19:00:00,0.0
92,2023/05/04 20:00:00,0.0
93,2023/05/04 21:00:00,0.0
94,2023/05/04 22:00:00,0.0
95,2023/05/04 23:00:00,0.0
96,2023/05/05 00:00:00,0.0
97,2023/05/05 01:00:00,0.0
98,2023/05/05 02:00:00,0.0
99,2023/05/05 03:00:00,0.0
100,2023/05/05 04:00:00,0.0
101,2023/05/05 05:00:00,0.0
102,2023/05/05 06:00:00,2293.29
103,2023/05/05 07:00:00,6668.81
104,2023/05/05 08:00:00,10654.11
105,2023/05/05 09:00:00,12714.28
106,2023/05/05 10:00:00,15798.11
107,2023/05/05 11:00:00,16676.84
108,2023/05/05 12:00:00,16637.34
109,2023/05/05 13:00:00,15600.95
110,2023/05/05 14:00:00,13524.97
111,2023/05/05 15:00:00,10437.81
112,2023/05/05 16:00:00,4851.69
113,2023/05/05 17:00:00,1891.8
114,2023/05/05 18:00:00,88.59
115,2023/05/05 19:00:00,0.0
116,2023/05/05 20:00:00,0.0
117,2023/05/05 21:00:00,0.0
118,2023/05/05 22:00:00,0.0
119,2023/05/05 23:00:00,0.0
120,2023/05/06 00:00:00,0.0
121,2023/05/06 01:00:00,0.0
122,2023/05/06 02:00:00,0.0
123,2023/05/06 03:00:00,0.0
124,2023/05/06 04:00:00,0.0
125,2023/05/06 05:00:00,0.0
126,2023/05/06 06:00:00,2352.0
127,2023/05/06 07:00:00,6751.8
128,2023/05/06 08:00:00,10645.48
129,2023/05/06 09:00:00,13539.64
130,2023/05/06 10:00:00,15584.4
131,2023/05/06 11:00:00,16550.17
132,2023/05/06 12:00:00,16618.42
133,2023/05/06 13:00:00,15618.01
134,2023/05/06 14:00:00,13075.39
135,2023/05/06 15:00:00,10130.32
136,2023/05/06 16:00:00,5933.98
137,2023/05/06 17:00:00,1220.46
138,2023/05/06 18:00:00,98.05
139,2023/05/06 19:00:00,0.0
140,2023/05/06 20:00:00,0.0
141,2023/05/06 21:00:00,0.0
142,2023/05/06 22:00:00,0.0
143,2023/05/06 23:00:00,0.0
144,2023/05/07 00:00:00,0.0
145,2023/05/07 01:00:00,0.0
146,2023/05/07 02:00:00,0.0
147,2023/05/07 03:00:00,0.0
148,2023/05/07 04:00:00,0.0
149,2023/05/07 05:00:00,0.0
150,2023/05/07 06:00:00,1243.72
151,2023/05/07 07:00:00,1473.99
152,2023/05/07 08:00:00,955.78
153,2023/05/07 09:00:00,445.3
154,2023/05/07 10:00:00,311.91
155,2023/05/07 11:00:00,750.72
156,2023/05/07 12:00:00,3512.56
157,2023/05/07 13:00:00,4831.3
158,2023/05/07 14:00:00,5323.3
159,2023/05/07 15:00:00,6547.81
160,2023/05/07 16:00:00,1924.63
161,2023/05/07 17:00:00,744.77
162,2023/05/07 18:00:00,74.99
163,2023/05/07 19:00:00,0.0
164,2023/05/07 20:00:00,0.0
165,2023/05/07 21:00:00,0.0
166,2023/05/07 22:00:00,0.0
167,2023/05/07 23:00:00,0.0
168,2023/05/08 00:00:00,0.0
169,2023/05/08 01:00:00,0.0
170,2023/05/08 02:00:00,0.0
171,2023/05/08 03:00:00,0.0
172,2023/05/08 04:00:00,0.0
173,2023/05/08 05:00:00,0.0
174,2023/05/08 06:00:00,1300.02
175,2023/05/08 07:00:00,3019.8
176,2023/05/08 08:00:00,7348.98
177,2023/05/08 09:00:00,13617.63
178,2023/05/08 10:00:00,14190.99
179,2023/05/08 11:00:00,17676.9
180,2023/05/08 12:00:00,17363.58
181,2023/05/08 13:00:00,11973.22
182,2023/05/08 14:00:00,7719.68
183,2023/05/08 15:00:00,7485.02
184,2023/05/08 16:00:00,4856.37
185,2023/05/08 17:00:00,1883.29
186,2023/05/08 18:00:00,206.53
187,2023/05/08 19:00:00,0.0
188,2023/05/08 20:00:00,0.0
189,2023/05/08 21:00:00,0.0
190,2023/05/08 22:00:00,0.0
191,2023/05/08 23:00:00,0.0
192,2023/05/09 00:00:00,0.0
193,2023/05/09 01:00:00,0.0
194,2023/05/09 02:00:00,0.0
195,2023/05/09 03:00:00,0.0
196,2023/05/09 04:00:00,0.0
